600505.SH,SW1公用事业
600509.SH,SW1公用事业
600578.SH,SW1公用事业
600617.SH,SW1公用事业
600635.SH,SW1公用事业
600642.SH,SW1公用事业
600644.SH,SW1公用事业
600674.SH,SW1公用事业
600681.SH,SW1公用事业
600719.SH,SW1公用事业
600726.SH,SW1公用事业
600744.SH,SW1公用事业
600780.SH,SW1公用事业
600795.SH,SW1公用事业
600803.SH,SW1公用事业
600821.SH,SW1公用事业
600863.SH,SW1公用事业
600868.SH,SW1公用事业
600886.SH,SW1公用事业
600900.SH,SW1公用事业
600903.SH,SW1公用事业
600905.SH,SW1公用事业
600917.SH,SW1公用事业
600956.SH,SW1公用事业
600969.SH,SW1公用事业
600979.SH,SW1公用事业
600982.SH,SW1公用事业
600995.SH,SW1公用事业
601016.SH,SW1公用事业
601139.SH,SW1公用事业
601222.SH,SW1公用事业
601619.SH,SW1公用事业
601778.SH,SW1公用事业
601908.SH,SW1公用事业
601985.SH,SW1公用事业
601991.SH,SW1公用事业
603053.SH,SW1公用事业
603080.SH,SW1公用事业
603105.SH,SW1公用事业
603318.SH,SW1公用事业
603393.SH,SW1公用事业
603689.SH,SW1公用事业
603693.SH,SW1公用事业
603706.SH,SW1公用事业
605011.SH,SW1公用事业
605028.SH,SW1公用事业
605090.SH,SW1公用事业
605162.SH,SW1公用事业
605169.SH,SW1公用事业
605368.SH,SW1公用事业
605580.SH,SW1公用事业
000027.SZ,SW1公用事业
000037.SZ,SW1公用事业
000155.SZ,SW1公用事业
000407.SZ,SW1公用事业
000507.SZ,SW1公用事业
000531.SZ,SW1公用事业
000537.SZ,SW1公用事业
000539.SZ,SW1公用事业
000543.SZ,SW1公用事业
000591.SZ,SW1公用事业
000593.SZ,SW1公用事业
000600.SZ,SW1公用事业
000601.SZ,SW1公用事业
000669.SZ,SW1公用事业
000690.SZ,SW1公用事业
000692.SZ,SW1公用事业
000722.SZ,SW1公用事业
000767.SZ,SW1公用事业
000791.SZ,SW1公用事业
000803.SZ,SW1公用事业
000862.SZ,SW1公用事业
000875.SZ,SW1公用事业
000883.SZ,SW1公用事业
000899.SZ,SW1公用事业
000966.SZ,SW1公用事业
000993.SZ,SW1公用事业
001210.SZ,SW1公用事业
001258.SZ,SW1公用事业
001286.SZ,SW1公用事业
001289.SZ,SW1公用事业
001299.SZ,SW1公用事业
001331.SZ,SW1公用事业
001376.SZ,SW1公用事业
001896.SZ,SW1公用事业
002015.SZ,SW1公用事业
002039.SZ,SW1公用事业
002053.SZ,SW1公用事业
002060.SZ,SW1公用事业
002218.SZ,SW1公用事业
002256.SZ,SW1公用事业
002259.SZ,SW1公用事业
